ID,Source,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Street,City,County,State,Zipcode,Country,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-524936,Source2,2,35.983994,-78.958107,,,US-15 S,Durham,Durham,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-525446,Source2,3,35.904144,-78.960083,,,I-40 W,Durham,Durham,NC,27713,US,2022-08-26 18:51:00,87.0,87.0,51.0,29.55,10.0,S,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-525681,Source2,1,35.91251,-78.781921,,,Brier Creek Pkwy,Durham,Wake,NC,27703,US,2022-08-26 05:51:00,66.0,66.0,100.0,29.61,9.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-528754,Source2,1,36.04707,-78.89613299999998,,,Ben Franklin Blvd,Durham,Durham,NC,27704,US,2022-08-24 07:51:00,70.0,70.0,97.0,29.6,8.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-532314,Source2,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-532354,Source2,3,35.907497,-78.86895,,,I-885,Durham,Durham,NC,27709,US,2022-08-19 14:51:00,82.0,82.0,56.0,29.66,10.0,ESE,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-533167,Source2,1,35.92783,-78.883781,,,NE Creek Pkwy,Durham,Durham,NC,27713,US,2022-08-18 06:51:00,64.0,64.0,93.0,29.59,10.0,E,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-533548,Source3,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-535433,Source2,1,35.983779999999996,-78.831078,,,Clayton Rd,Durham,Durham,NC,27703-3506,US,2022-08-17 06:51:00,66.0,66.0,93.0,29.56,10.0,NNE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-535525,Source2,1,36.0257,-78.855293,,,Dublin St,Durham,Durham,NC,27704-4707,US,2022-08-17 06:51:00,66.0,66.0,93.0,29.56,10.0,NNE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-539118,Source2,1,35.882351,-78.850098,,,Slater Rd,Durham,Durham,NC,27703,US,2022-08-12 06:37:00,74.0,74.0,97.0,29.56,8.0,SW,5.0,0.0,Light Rain,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-539432,Source2,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-540079,Source2,3,35.912254,-78.8647,,,Durham Fwy N,Durham,Durham,NC,27709,US,2022-08-11 08:51:00,78.0,78.0,84.0,29.62,10.0,SW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-541362,Source2,2,36.035198,-78.968323,,,I-85 S,Durham,Durham,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-541500,Source2,1,35.917564,-78.78915400000002,,,Glenwood Ave,Durham,Wake,NC,27703,US,2022-08-10 04:51:00,76.0,76.0,91.0,29.67,10.0,WSW,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-542264,Source2,4,36.025303,-78.94547299999998,,,US-15 S,Durham,Durham,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-543465,Source2,1,35.991169,-78.82253299999998,,,Quartz Dr,Durham,Durham,NC,27703-6653,US,2022-08-08 07:51:00,77.0,77.0,94.0,29.72,10.0,WSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-544046,Source2,3,35.950932,-78.99897800000002,,,Durham Chapel Hill Blvd,Durham,Durham,NC,27707,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-545994,Source2,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-546767,Source2,3,35.90656699999999,-78.89225,,,I-40,Durham,Durham,NC,27713,US,2022-08-04 06:51:00,76.0,76.0,87.0,29.66,10.0,SW,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-547288,Source2,2,35.90156599999999,-78.873558,,,Durham Fwy N,Durham,Durham,NC,27709,US,2022-08-03 10:51:00,86.0,86.0,57.0,29.64,10.0,NE,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-547584,Source2,3,36.035477,-78.96978,,,I-85,Durham,Durham,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-549455,Source2,3,35.952061,-79.000031,,,I-40,Durham,Durham,NC,27707,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-549594,Source2,2,35.91251,-78.781921,,,Brier Creek Pkwy,Durham,Wake,NC,27703,US,2022-08-01 08:51:00,78.0,78.0,90.0,29.65,10.0,WSW,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-551397,Source2,1,35.950932,-78.99897800000002,,,Durham Chapel Hill Blvd,Durham,Durham,NC,27707,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-551883,Source2,1,35.955959,-78.852722,,,Angier Ave,Durham,Durham,NC,27703-5403,US,2022-07-29 07:51:00,79.0,79.0,94.0,29.57,10.0,WSW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-552498,Source2,3,35.908787,-78.935738,,,I-40 E,Durham,Durham,NC,27713,US,2022-07-28 18:51:00,88.0,88.0,63.0,29.51,10.0,SSE,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-553178,Source2,2,35.882881,-78.840797,,,I-40 E,Durham,Durham,NC,27703,US,2022-07-28 07:51:00,78.0,78.0,93.0,29.56,10.0,SW,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-553516,Source2,3,36.057896,-78.796028,,,Redwood Rd,Durham,Durham,NC,27704-8628,US,2022-07-27 21:51:00,76.0,76.0,97.0,29.59,10.0,W,6.0,0.03,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-555235,Source2,3,35.907051,-78.896301,,,I-40 W,Durham,Durham,NC,27713,US,2022-07-26 13:51:00,78.0,78.0,90.0,29.66,7.0,W,6.0,0.24,Light Rain with Thunder,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-555891,Source2,1,35.979771,-78.896149,,,Massey Ave,Durham,Durham,NC,27701-4441,US,2022-07-26 04:51:00,77.0,77.0,84.0,29.65,10.0,SW,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-556002,Source2,3,36.046478,-78.81385,,,I-85 N,Durham,Durham,NC,27704,US,2022-07-25 19:51:00,82.0,82.0,62.0,29.62,10.0,VAR,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-556070,Source2,3,36.057896,-78.796028,,,Redwood Rd,Durham,Durham,NC,27704-8628,US,2022-07-25 20:51:00,80.0,80.0,71.0,29.61,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-557142,Source3,3,35.898823,-78.86861400000002,,,I-40,Durham,Durham,NC,27709,US,2022-07-24 14:51:00,94.0,94.0,56.0,29.65,10.0,S,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-558560,Source2,2,35.904144,-78.960083,,,I-40 W,Durham,Durham,NC,27713,US,2022-07-22 09:51:00,83.0,83.0,77.0,29.6,10.0,WSW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-559208,Source2,3,36.03875,-79.014267,,,I-85,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-559373,Source2,3,35.95737800000001,-78.86434200000002,,,NC-147,Durham,Durham,NC,27703,US,2022-07-21 17:51:00,76.0,76.0,94.0,29.45,10.0,VAR,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-560051,Source2,3,36.069721,-78.779251,,,I-85,Durham,Durham,NC,27704,US,2022-07-21 05:51:00,76.0,76.0,94.0,29.41,10.0,SW,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-563570,Source2,1,36.028587,-78.924873,,,I-85 S,Durham,Durham,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-564858,Source2,3,35.889641,-78.847107,,,I-40 W,Durham,Durham,NC,27703,US,2022-07-15 19:51:00,76.0,76.0,87.0,29.66,10.0,VAR,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-565934,Source2,1,36.00452,-78.892761,,,N Roxboro St,Durham,Durham,NC,27701-2354,US,2022-07-15 05:51:00,75.0,75.0,94.0,29.67,10.0,SW,5.0,0.0,Cloudy,False,False,False,False,False,False,False,True,False,False,False,False,Night,Day,Day,Day
A-566093,Source2,1,35.91251,-78.781921,,,Brier Creek Pkwy,Durham,Wake,NC,27703,US,2022-07-14 17:51:00,89.0,89.0,45.0,29.61,10.0,SW,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-568110,Source2,1,35.976669,-78.79312900000002,,,Wake Forest Rd,Durham,Durham,NC,27703-3703,US,2022-07-13 07:51:00,77.0,77.0,88.0,29.56,10.0,WSW,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-569590,Source3,2,35.976219,-78.875664,,,Durham Fwy S,Durham,Durham,NC,27703,US,2022-07-11 17:51:00,82.0,82.0,58.0,29.51,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-570525,Source2,3,35.907238,-78.899574,,,I-40,Durham,Durham,NC,27713,US,2022-07-10 16:51:00,70.0,70.0,93.0,29.57,7.0,NE,12.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-572936,Source2,1,35.98598900000001,-78.849907,,,Wedgedale Ave,Durham,Durham,NC,27703-4647,US,2022-07-07 07:51:00,79.0,79.0,82.0,29.54,10.0,SW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-577555,Source2,3,35.904552,-78.95787,,,I-40,Durham,Durham,NC,27713,US,2022-07-01 14:51:00,92.0,92.0,50.0,29.66,10.0,SSE,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-577729,Source3,3,35.908787,-78.935738,,,I-40 E,Durham,Durham,NC,27713,US,2022-07-01 09:51:00,81.0,81.0,72.0,29.74,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-578713,Source2,2,35.98243,-78.890198,,,S Alston Ave,Durham,Durham,NC,27701,US,2022-06-30 16:51:00,91.0,91.0,43.0,29.74,10.0,SW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-579701,Source2,3,35.928104,-78.85977199999998,,,I-885,Durham,Durham,NC,27709,US,2022-06-29 17:51:00,83.0,83.0,65.0,29.79,10.0,S,8.0,0.0,Cloudy,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-580193,Source2,1,35.929428,-78.885162,,,E Cornwallis Rd,Durham,Durham,NC,27713-1501,US,2022-06-29 07:51:00,69.0,69.0,93.0,29.83,4.0,E,7.0,0.13,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-580238,Source2,1,35.928394,-78.94754,,,Heatherwood Ln,Durham,Durham,NC,27713,US,2022-06-29 08:51:00,70.0,70.0,93.0,29.84,6.0,SE,3.0,0.1,Light Rain,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-581574,Source2,1,35.912254,-78.8647,,,Durham Fwy N,Durham,Durham,NC,27709,US,2022-06-28 04:51:00,73.0,73.0,96.0,29.69,10.0,NNE,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-583586,Source2,3,35.907051,-78.896301,,,I-40 W,Durham,Durham,NC,27713,US,2022-06-24 16:51:00,88.0,88.0,43.0,29.6,10.0,SE,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-583693,Source2,1,35.986069,-78.88855,,,Angier Ave,Durham,Durham,NC,27701-4109,US,2022-06-24 06:51:00,69.0,69.0,87.0,29.62,10.0,ENE,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-584737,Source2,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-585678,Source2,4,35.908787,-78.935738,,,I-40 E,Durham,Durham,NC,27713,US,2022-06-22 17:51:00,95.0,95.0,33.0,29.42,10.0,WNW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-587785,Source2,1,36.017841,-78.93630999999998,,,W Club Blvd,Durham,Durham,NC,27705-3127,US,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-589252,Source2,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-590068,Source3,2,35.976219,-78.875664,,,Durham Fwy S,Durham,Durham,NC,27703,US,2022-06-17 17:51:00,94.0,94.0,44.0,29.4,10.0,W,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-591201,Source2,3,35.904144,-78.960083,,,I-40 W,Durham,Durham,NC,27713,US,2022-06-16 19:27:00,73.0,73.0,90.0,29.62,10.0,SW,9.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-597518,Source2,1,35.912281,-78.902817,,,Exchange Pl,Durham,Durham,NC,27713,US,2022-06-10 08:51:00,72.0,72.0,57.0,29.54,10.0,NE,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-597551,Source2,2,35.994492,-78.881752,,,US-70-BR,Durham,Durham,NC,27701,US,2022-06-10 05:51:00,65.0,65.0,68.0,29.5,10.0,VAR,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-597908,Source2,3,35.888023,-78.845383,,,I-40,Durham,Durham,NC,27703,US,2022-06-09 15:51:00,89.0,89.0,45.0,29.35,10.0,W,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-597985,Source2,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-602294,Source3,3,36.047321,-78.81308,,,I-85 S,Durham,Durham,NC,27704,US,2022-06-06 15:51:00,82.0,82.0,41.0,29.6,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-603996,Source2,2,35.908844,-78.935028,,,I-40,Durham,Durham,NC,27713,US,2022-06-02 08:51:00,81.0,81.0,72.0,29.44,10.0,SW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-604541,Source2,1,35.917564,-78.78915400000002,,,Glenwood Ave,Durham,Wake,NC,27703,US,2022-06-01 16:51:00,93.0,93.0,45.0,29.48,10.0,WNW,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-605953,Source3,3,36.025703,-78.850952,,,I-85 N,Durham,Durham,NC,27704,US,2022-05-31 13:51:00,90.0,90.0,50.0,29.65,10.0,VAR,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-606525,Source2,1,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-607141,Source2,3,36.038467,-79.01007800000002,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-607367,Source2,1,35.97573900000001,-78.785957,,,Wake Forest Rd,Durham,Durham,NC,27704,US,2022-05-30 07:51:00,73.0,73.0,81.0,29.73,10.0,S,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-608699,Source2,3,35.950932,-78.99897800000002,,,Durham Chapel Hill Blvd,Durham,Durham,NC,27707,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-609220,Source2,2,35.924118,-78.860229,,,T.W. Alexander Dr,Durham,Durham,NC,27709,US,2022-05-27 07:51:00,76.0,76.0,82.0,29.5,10.0,S,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-609269,Source2,1,35.91251,-78.781921,,,Brier Creek Pkwy,Durham,Wake,NC,27703,US,2022-05-27 08:51:00,77.0,77.0,79.0,29.52,10.0,SSW,13.0,0.0,Thunder,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-609803,Source3,3,36.014187,-78.886215,,,I-85 S,Durham,Durham,NC,27701,US,2022-05-26 16:51:00,81.0,81.0,62.0,29.67,10.0,SSE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-610390,Source2,1,35.98735,-78.887901,,,N Alston Ave,Durham,Durham,NC,27701-4001,US,2022-05-26 08:51:00,64.0,64.0,90.0,29.82,10.0,E,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-611127,Source2,3,35.882881,-78.840797,,,I-40 E,Durham,Durham,NC,27703,US,2022-05-25 16:51:00,67.0,67.0,79.0,29.83,10.0,NE,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-612936,Source2,2,35.981441,-78.820976,,,Wake Forest Rd,Durham,Durham,NC,27703-3634,US,2022-05-24 08:51:00,71.0,71.0,90.0,29.64,10.0,SSW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-613172,Source2,1,35.93518800000001,-78.92040300000002,,,Juliette Dr,Durham,Durham,NC,27713,US,2022-05-24 08:20:00,70.0,70.0,90.0,29.64,10.0,SSW,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-613990,Source2,1,35.991058,-78.872398,,,Raynor St,Durham,Durham,NC,27703-3133,US,2022-05-23 08:51:00,76.0,76.0,74.0,29.72,10.0,NNE,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-614260,Source2,1,35.976669,-78.79312900000002,,,Wake Forest Rd,Durham,Durham,NC,27703-3703,US,2022-05-23 07:51:00,73.0,73.0,84.0,29.72,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-615631,Source2,3,35.907467,-78.942398,,,I-40,Durham,Durham,NC,27713,US,2022-05-20 15:51:00,95.0,95.0,43.0,29.52,10.0,WSW,15.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-616355,Source2,1,35.924171,-78.846603,,,S Miami Blvd,Durham,Durham,NC,27703,US,2022-05-20 06:51:00,71.0,71.0,81.0,29.48,10.0,SW,9.0,0.0,Mostly Cloudy,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-617589,Source2,1,35.976219,-78.875664,,,Durham Fwy S,Durham,Durham,NC,27703,US,2022-05-19 07:51:00,74.0,74.0,73.0,29.42,10.0,SW,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-618128,Source2,3,35.889641,-78.847107,,,I-40 W,Durham,Durham,NC,27703,US,2022-05-18 17:51:00,85.0,85.0,37.0,29.51,10.0,SW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-618655,Source2,1,35.91914000000001,-78.813911,,,Page Rd,Durham,Durham,NC,27703,US,2022-05-18 07:51:00,67.0,67.0,70.0,29.62,10.0,N,3.0,0.0,Partly Cloudy,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-620767,Source2,3,35.908787,-78.935738,,,I-40 E,Durham,Durham,NC,27713,US,2022-05-16 17:51:00,70.0,70.0,84.0,29.33,10.0,NE,7.0,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-622055,Source2,3,36.038609,-79.010681,,,I-85 S,Durham,Orange,NC,27705,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-622116,Source2,3,35.903824,-78.966515,,,I-40,Durham,Durham,NC,27713,US,2022-05-15 11:51:00,81.0,81.0,60.0,29.54,10.0,WSW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-624170,Source2,1,35.942421,-78.83856999999998,,,S Miami Blvd,Durham,Durham,NC,27703-5708,US,2022-05-12 07:51:00,62.0,62.0,80.0,29.69,10.0,NE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-625646,Source2,1,35.979912,-78.727882,,,Coley Rd,Durham,Durham,NC,27703-8859,US,2022-05-11 10:51:00,68.0,68.0,28.0,29.76,10.0,NE,18.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-625780,Source2,2,35.99749,-78.879982,,,Spruce St,Durham,Durham,NC,27701-3557,US,2022-05-11 16:51:00,75.0,75.0,37.0,29.69,10.0,N,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-625984,Source2,1,35.91251,-78.781921,,,Brier Creek Pkwy,Durham,Wake,NC,27703,US,2022-05-11 15:51:00,77.0,77.0,36.0,29.7,10.0,NNE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-626629,Source2,1,35.98608,-78.88459,,,E Main St,Durham,Durham,NC,27703-3209,US,2022-05-11 08:51:00,60.0,60.0,41.0,29.78,10.0,NNE,15.0,0.0,Fair,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
